exp,target,seed,config,nmi,ari,seconds
tune,0.2_0.65,3,lr:0.01|do:0.0|h:128,0.7927,0.8402,4.01
tune,0.2_0.65,3,lr:0.01|do:0.5|h:64,0.5635,0.6201,3.22
tune,0.2_0.65,3,lr:0.01|do:0.5|h:128,0.5683,0.6212,3.86
depth,0.2_0.65,4,d2,0.4667,0.4505,4.43
tune,0.2_0.65,4,lr:0.001|do:0.0|h:64,0.8164,0.8613,3.14
depth,0.2_0.65,4,d3,0.5974,0.6537,6.03
mcdepth,0.2_0.65,4,mc_d2,0.004,0.0,6.79
tune,0.2_0.65,4,lr:0.001|do:0.0|h:128,0.8016,0.8492,3.85
tune,0.2_0.65,4,lr:0.01|do:0.0|h:64,0.808,0.8516,3.3
tune,0.2_0.65,4,lr:0.001|do:0.5|h:128,0.8488,0.8888,3.89
mcdepth,0.2_0.65,4,mc_d3,0.622,0.6713,9.36
tune,0.2_0.65,4,lr:0.01|do:0.0|h:128,0.8027,0.8468,3.89
tune,0.2_0.65,4,lr:0.01|do:0.5|h:64,0.5793,0.6379,3.14
tune,0.2_0.65,4,lr:0.01|do:0.5|h:128,0.5691,0.627,3.94
depth,0.2_0.8,0,d2,0.7753,0.8295,4.6
depth,0.2_0.8,0,d3,0.6884,0.7446,5.88
tune,0.2_0.8,0,lr:0.001|do:0.0|h:64,0.8991,0.9344,3.33
mcdepth,0.2_0.8,0,mc_d2,0.0,0.0,6.92
tune,0.2_0.8,0,lr:0.001|do:0.0|h:128,0.8735,0.9138,3.92
tune,0.2_0.8,0,lr:0.01|do:0.0|h:64,0.8577,0.8986,3.26
tune,0.2_0.8,0,lr:0.001|do:0.5|h:128,0.8944,0.9292,3.93
mcdepth,0.2_0.8,0,mc_d3,0.0,0.0,9.41
tune,0.2_0.8,0,lr:0.01|do:0.0|h:128,0.8877,0.9216,3.86
tune,0.2_0.8,0,lr:0.01|do:0.5|h:64,0.5709,0.6273,3.19
tune,0.2_0.8,0,lr:0.01|do:0.5|h:128,0.5564,0.6108,3.93
depth,0.2_0.8,1,d2,0.7117,0.7682,4.52
depth,0.2_0.8,1,d3,0.6519,0.7066,5.87
mcdepth,0.2_0.8,1,mc_d2,0.0,0.0,6.86
tune,0.2_0.8,1,lr:0.001|do:0.0|h:64,0.8196,0.8614,3.28
tune,0.2_0.8,1,lr:0.001|do:0.0|h:128,0.8079,0.8522,3.89
tune,0.2_0.8,1,lr:0.01|do:0.0|h:64,0.5345,0.5834,3.16
tune,0.2_0.8,1,lr:0.001|do:0.5|h:128,0.866,0.9039,3.92
mcdepth,0.2_0.8,1,mc_d3,0.0,0.0,9.5
tune,0.2_0.8,1,lr:0.01|do:0.0|h:128,0.5769,0.6357,3.95
tune,0.2_0.8,1,lr:0.01|do:0.5|h:64,0.5366,0.594,3.25
tune,0.2_0.8,1,lr:0.01|do:0.5|h:128,0.5428,0.6015,3.88
depth,0.2_0.8,2,d2,0.7273,0.784,4.56
depth,0.2_0.8,2,d3,0.6052,0.6504,5.96
tune,0.2_0.8,2,lr:0.001|do:0.0|h:64,0.8337,0.8788,3.18
mcdepth,0.2_0.8,2,mc_d2,0.0,0.0,6.88
tune,0.2_0.8,2,lr:0.001|do:0.0|h:128,0.8379,0.8793,3.88
tune,0.2_0.8,2,lr:0.01|do:0.0|h:64,0.8346,0.8754,3.13
mcdepth,0.2_0.8,2,mc_d3,0.0,0.0,9.43
tune,0.2_0.8,2,lr:0.001|do:0.5|h:128,0.8711,0.9065,3.88
tune,0.2_0.8,2,lr:0.01|do:0.0|h:128,0.7471,0.7989,3.87
tune,0.2_0.8,2,lr:0.01|do:0.5|h:64,0.5524,0.6108,3.12
tune,0.2_0.8,2,lr:0.01|do:0.5|h:128,0.5317,0.5876,3.82
depth,0.2_0.8,3,d2,0.7962,0.8439,4.59
tune,0.2_0.8,3,lr:0.001|do:0.0|h:64,0.8214,0.8623,3.2
depth,0.2_0.8,3,d3,0.7285,0.7763,6.01
mcdepth,0.2_0.8,3,mc_d2,0.0,0.0,7.0
tune,0.2_0.8,3,lr:0.001|do:0.0|h:128,0.8454,0.8886,3.93
tune,0.2_0.8,3,lr:0.01|do:0.0|h:64,0.7794,0.8206,3.24
tune,0.2_0.8,3,lr:0.001|do:0.5|h:128,0.9006,0.9319,3.92
mcdepth,0.2_0.8,3,mc_d3,0.8217,0.8688,9.58
tune,0.2_0.8,3,lr:0.01|do:0.0|h:128,0.7627,0.8005,4.0
tune,0.2_0.8,3,lr:0.01|do:0.5|h:64,0.5556,0.61,3.33
tune,0.2_0.8,3,lr:0.01|do:0.5|h:128,0.5771,0.6313,3.96
depth,0.2_0.8,4,d2,0.4533,0.4135,4.53
depth,0.2_0.8,4,d3,0.6658,0.7235,6.02
tune,0.2_0.8,4,lr:0.001|do:0.0|h:64,0.8449,0.8838,3.24
mcdepth,0.2_0.8,4,mc_d2,0.0,0.0,6.96
tune,0.2_0.8,4,lr:0.001|do:0.0|h:128,0.8381,0.8788,3.86
tune,0.2_0.8,4,lr:0.01|do:0.0|h:64,0.859,0.8941,3.25
tune,0.2_0.8,4,lr:0.001|do:0.5|h:128,0.9018,0.9319,3.96
mcdepth,0.2_0.8,4,mc_d3,0.712,0.7561,9.55
tune,0.2_0.8,4,lr:0.01|do:0.0|h:128,0.8855,0.9165,3.92
tune,0.2_0.8,4,lr:0.01|do:0.5|h:64,0.5665,0.6216,3.23
tune,0.2_0.8,4,lr:0.01|do:0.5|h:128,0.5641,0.6174,3.97
depth,0.2_1.0,0,d2,0.8634,0.9016,4.64
depth,0.2_1.0,0,d3,0.7527,0.7988,5.88
tune,0.2_1.0,0,lr:0.001|do:0.0|h:64,0.9112,0.9396,3.22
mcdepth,0.2_1.0,0,mc_d2,0.0,0.0,6.94
tune,0.2_1.0,0,lr:0.001|do:0.0|h:128,0.8755,0.9139,3.88
tune,0.2_1.0,0,lr:0.01|do:0.0|h:64,0.8882,0.9217,3.09
tune,0.2_1.0,0,lr:0.001|do:0.5|h:128,0.9028,0.9344,3.71
mcdepth,0.2_1.0,0,mc_d3,0.0,0.0,9.3
tune,0.2_1.0,0,lr:0.01|do:0.0|h:128,0.8907,0.9215,3.67
tune,0.2_1.0,0,lr:0.01|do:0.5|h:64,0.5764,0.6338,2.94
tune,0.2_1.0,0,lr:0.01|do:0.5|h:128,0.5863,0.6426,3.56
depth,0.2_1.0,1,d2,0.7625,0.8108,4.19
tune,0.2_1.0,1,lr:0.001|do:0.0|h:64,0.8101,0.8512,2.84
depth,0.2_1.0,1,d3,0.7015,0.7582,5.46
mcdepth,0.2_1.0,1,mc_d2,0.0,0.0,6.37
tune,0.2_1.0,1,lr:0.001|do:0.0|h:128,0.8095,0.8499,3.65
tune,0.2_1.0,1,lr:0.01|do:0.0|h:64,0.7939,0.8421,3.24
tune,0.2_1.0,1,lr:0.001|do:0.5|h:128,0.9297,0.9528,3.88
tune,0.2_1.0,1,lr:0.01|do:0.0|h:128,0.7455,0.7902,3.91
mcdepth,0.2_1.0,1,mc_d3,0.0,0.0,9.15
tune,0.2_1.0,1,lr:0.01|do:0.5|h:64,0.5491,0.6069,3.24
tune,0.2_1.0,1,lr:0.01|do:0.5|h:128,0.5546,0.6124,3.96
depth,0.2_1.0,2,d2,0.8092,0.8587,4.32
depth,0.2_1.0,2,d3,0.7384,0.7864,5.88
tune,0.2_1.0,2,lr:0.001|do:0.0|h:64,0.8639,0.9013,3.3
mcdepth,0.2_1.0,2,mc_d2,0.0,0.0,7.03
tune,0.2_1.0,2,lr:0.001|do:0.0|h:128,0.8627,0.8991,3.89
tune,0.2_1.0,2,lr:0.01|do:0.0|h:64,0.5486,0.6059,3.14
tune,0.2_1.0,2,lr:0.001|do:0.5|h:128,0.8808,0.914,3.84
mcdepth,0.2_1.0,2,mc_d3,0.0,0.0,9.67
tune,0.2_1.0,2,lr:0.01|do:0.5|h:64,0.5631,0.6213,3.09
tune,0.2_1.0,2,lr:0.01|do:0.0|h:128,0.7473,0.797,3.85
tune,0.2_1.0,2,lr:0.01|do:0.5|h:128,0.557,0.6147,3.93
depth,0.2_1.0,3,d2,0.8631,0.8938,4.59
depth,0.2_1.0,3,d3,0.8021,0.8414,5.9
tune,0.2_1.0,3,lr:0.001|do:0.0|h:64,0.8613,0.8938,3.28
mcdepth,0.2_1.0,3,mc_d2,0.0578,0.0043,7.15
tune,0.2_1.0,3,lr:0.001|do:0.0|h:128,0.8598,0.894,3.86
tune,0.2_1.0,3,lr:0.01|do:0.0|h:64,0.6319,0.6706,3.2
tune,0.2_1.0,3,lr:0.001|do:0.5|h:128,0.9434,0.963,3.84
mcdepth,0.2_1.0,3,mc_d3,0.8183,0.8539,9.79
tune,0.2_1.0,3,lr:0.01|do:0.5|h:64,0.5924,0.6433,3.09
tune,0.2_1.0,3,lr:0.01|do:0.0|h:128,0.8385,0.8787,3.99
tune,0.2_1.0,3,lr:0.01|do:0.5|h:128,0.5758,0.6263,3.91
depth,0.2_1.0,4,d2,0.4864,0.4275,4.46
tune,0.2_1.0,4,lr:0.001|do:0.0|h:64,0.8933,0.9215,3.19
depth,0.2_1.0,4,d3,0.703,0.7583,5.81
mcdepth,0.2_1.0,4,mc_d2,0.0,0.0,7.08
tune,0.2_1.0,4,lr:0.001|do:0.0|h:128,0.8412,0.879,3.8
tune,0.2_1.0,4,lr:0.01|do:0.0|h:64,0.8656,0.8987,3.01
tune,0.2_1.0,4,lr:0.001|do:0.5|h:128,0.94,0.9605,3.83
mcdepth,0.2_1.0,4,mc_d3,0.7726,0.8164,9.77
tune,0.2_1.0,4,lr:0.01|do:0.0|h:128,0.9075,0.9319,3.91
tune,0.2_1.0,4,lr:0.01|do:0.5|h:64,0.5943,0.646,3.03
tune,0.2_1.0,4,lr:0.01|do:0.5|h:128,0.5719,0.6258,3.74
depth,0.2_1.5,0,d2,0.8852,0.9112,4.53
tune,0.2_1.5,0,lr:0.001|do:0.0|h:64,0.9491,0.9656,3.17
depth,0.2_1.5,0,d3,0.8078,0.8405,6.1
mcdepth,0.2_1.5,0,mc_d2,0.0,0.0,7.19
tune,0.2_1.5,0,lr:0.001|do:0.0|h:128,0.8963,0.9244,3.91
tune,0.2_1.5,0,lr:0.001|do:0.5|h:128,0.9561,0.9708,3.88
tune,0.2_1.5,0,lr:0.01|do:0.0|h:64,0.909,0.9252,3.3
mcdepth,0.2_1.5,0,mc_d3,0.0,0.0,9.59
tune,0.2_1.5,0,lr:0.01|do:0.0|h:128,0.8564,0.8784,4.1
tune,0.2_1.5,0,lr:0.01|do:0.5|h:64,0.5817,0.638,3.27
tune,0.2_1.5,0,lr:0.01|do:0.5|h:128,0.5947,0.6494,3.88
depth,0.2_1.5,1,d2,0.9465,0.9605,4.75
tune,0.2_1.5,1,lr:0.001|do:0.0|h:64,0.875,0.8944,3.13
mcdepth,0.2_1.5,1,mc_d2,0.0,0.0,7.09
depth,0.2_1.5,1,d3,0.7841,0.8295,6.13
tune,0.2_1.5,1,lr:0.001|do:0.0|h:128,0.9136,0.9342,3.91
tune,0.2_1.5,1,lr:0.001|do:0.5|h:128,0.9953,0.9973,3.81
tune,0.2_1.5,1,lr:0.01|do:0.0|h:64,0.6046,0.6478,3.28
mcdepth,0.2_1.5,1,mc_d3,0.0,0.0,9.84
tune,0.2_1.5,1,lr:0.01|do:0.0|h:128,0.5304,0.5746,3.93
tune,0.2_1.5,1,lr:0.01|do:0.5|h:64,0.5764,0.6351,3.21
tune,0.2_1.5,1,lr:0.01|do:0.5|h:128,0.583,0.6372,3.85
depth,0.2_1.5,2,d2,0.9333,0.9503,4.7
depth,0.2_1.5,2,d3,0.8256,0.8554,5.96
tune,0.2_1.5,2,lr:0.001|do:0.0|h:64,0.9034,0.9241,3.07
mcdepth,0.2_1.5,2,mc_d2,0.0,0.0,7.03
tune,0.2_1.5,2,lr:0.001|do:0.0|h:128,0.9069,0.9292,3.94
tune,0.2_1.5,2,lr:0.01|do:0.0|h:64,0.8279,0.8584,3.13
mcdepth,0.2_1.5,2,mc_d3,0.0,0.0,9.58
tune,0.2_1.5,2,lr:0.001|do:0.5|h:128,0.9239,0.9447,3.94
tune,0.2_1.5,2,lr:0.01|do:0.0|h:128,0.6483,0.6791,4.1
tune,0.2_1.5,2,lr:0.01|do:0.5|h:64,0.5721,0.6314,3.26
tune,0.2_1.5,2,lr:0.01|do:0.5|h:128,0.5732,0.6318,3.87
depth,0.2_1.5,3,d2,0.9691,0.9814,4.69
tune,0.2_1.5,3,lr:0.001|do:0.0|h:64,0.8946,0.9185,3.2
mcdepth,0.2_1.5,3,mc_d2,0.1682,0.1529,7.09
depth,0.2_1.5,3,d3,0.8649,0.8914,6.24
tune,0.2_1.5,3,lr:0.001|do:0.0|h:128,0.9244,0.9374,4.0
tune,0.2_1.5,3,lr:0.001|do:0.5|h:128,0.9822,0.9894,3.77
tune,0.2_1.5,3,lr:0.01|do:0.0|h:64,0.7743,0.8033,3.24
mcdepth,0.2_1.5,3,mc_d3,0.0,0.0,9.79
tune,0.2_1.5,3,lr:0.01|do:0.0|h:128,0.8906,0.9112,4.03
tune,0.2_1.5,3,lr:0.01|do:0.5|h:64,0.6065,0.6566,3.24
tune,0.2_1.5,3,lr:0.01|do:0.5|h:128,0.6346,0.6815,3.82
depth,0.2_1.5,4,d2,0.8031,0.8239,4.7
tune,0.2_1.5,4,lr:0.001|do:0.0|h:64,0.9063,0.9265,3.13
depth,0.2_1.5,4,d3,0.8599,0.8985,6.23
mcdepth,0.2_1.5,4,mc_d2,0.0,0.0,7.16
tune,0.2_1.5,4,lr:0.001|do:0.0|h:128,0.8813,0.9063,4.01
tune,0.2_1.5,4,lr:0.01|do:0.0|h:64,0.5698,0.6196,3.36
tune,0.2_1.5,4,lr:0.001|do:0.5|h:128,0.9916,0.9947,3.85
mcdepth,0.2_1.5,4,mc_d3,0.0,0.0,9.73
tune,0.2_1.5,4,lr:0.01|do:0.0|h:128,0.6895,0.7228,4.12
tune,0.2_1.5,4,lr:0.01|do:0.5|h:64,0.5996,0.6504,3.32
tune,0.2_1.5,4,lr:0.01|do:0.5|h:128,0.5647,0.6224,4.0
depth,0.35_0.0,0,d2,0.0158,0.0116,4.57
depth,0.35_0.0,0,d3,0.0271,0.0223,5.82
tune,0.35_0.0,0,lr:0.001|do:0.0|h:64,0.0263,0.0201,3.23
mcdepth,0.35_0.0,0,mc_d2,0.0,0.0,7.11
tune,0.35_0.0,0,lr:0.001|do:0.0|h:128,0.0179,0.0124,3.93
tune,0.35_0.0,0,lr:0.01|do:0.0|h:64,0.0279,0.0213,3.37
tune,0.35_0.0,0,lr:0.001|do:0.5|h:128,0.0115,0.0076,4.04
mcdepth,0.35_0.0,0,mc_d3,0.0557,0.0454,9.99
tune,0.35_0.0,0,lr:0.01|do:0.0|h:128,0.022,0.0159,4.05
tune,0.35_0.0,0,lr:0.01|do:0.5|h:64,0.0236,0.0185,3.31
tune,0.35_0.0,0,lr:0.01|do:0.5|h:128,0.0192,0.0147,3.89
depth,0.35_0.0,1,d2,0.007,0.0037,4.46
tune,0.35_0.0,1,lr:0.001|do:0.0|h:64,0.011,0.0074,3.21
depth,0.35_0.0,1,d3,0.0247,0.0198,5.95
mcdepth,0.35_0.0,1,mc_d2,0.0379,0.0306,7.25
tune,0.35_0.0,1,lr:0.001|do:0.0|h:128,0.0082,0.0047,3.94
tune,0.35_0.0,1,lr:0.01|do:0.0|h:64,0.0276,0.0232,3.27
mcdepth,0.35_0.0,1,mc_d3,0.0216,0.016,9.68
tune,0.35_0.0,1,lr:0.001|do:0.5|h:128,0.0054,0.002,4.05
tune,0.35_0.0,1,lr:0.01|do:0.5|h:64,0.0059,0.0024,3.26
tune,0.35_0.0,1,lr:0.01|do:0.0|h:128,0.0155,0.0115,4.21
tune,0.35_0.0,1,lr:0.01|do:0.5|h:128,0.016,0.0117,3.93
depth,0.35_0.0,2,d2,0.0077,0.0041,4.78
tune,0.35_0.0,2,lr:0.001|do:0.0|h:64,0.0145,0.0108,3.24
depth,0.35_0.0,2,d3,0.0105,0.0063,5.87
mcdepth,0.35_0.0,2,mc_d2,0.0,0.0,7.04
tune,0.35_0.0,2,lr:0.001|do:0.0|h:128,0.0085,0.0046,4.05
tune,0.35_0.0,2,lr:0.01|do:0.0|h:64,0.0114,0.0072,3.11
tune,0.35_0.0,2,lr:0.001|do:0.5|h:128,0.0136,0.0085,3.87
tune,0.35_0.0,2,lr:0.01|do:0.0|h:128,0.0093,0.0052,4.0
mcdepth,0.35_0.0,2,mc_d3,0.0204,0.0166,9.94
tune,0.35_0.0,2,lr:0.01|do:0.5|h:64,0.0126,0.0082,3.27
tune,0.35_0.0,2,lr:0.01|do:0.5|h:128,0.0165,0.0124,3.82
depth,0.35_0.0,3,d2,0.0211,0.0175,4.39
tune,0.35_0.0,3,lr:0.001|do:0.0|h:64,0.0189,0.0144,3.03
depth,0.35_0.0,3,d3,0.0113,0.0072,6.06
mcdepth,0.35_0.0,3,mc_d2,0.0,0.0,6.99
tune,0.35_0.0,3,lr:0.001|do:0.0|h:128,0.0048,0.0014,3.71
tune,0.35_0.0,3,lr:0.01|do:0.0|h:64,0.0108,0.0068,3.27
tune,0.35_0.0,3,lr:0.001|do:0.5|h:128,0.0162,0.0119,3.75
mcdepth,0.35_0.0,3,mc_d3,0.0215,0.0176,9.28
tune,0.35_0.0,3,lr:0.01|do:0.5|h:64,0.0191,0.0148,3.08
tune,0.35_0.0,3,lr:0.01|do:0.0|h:128,0.0092,0.0056,3.91
tune,0.35_0.0,3,lr:0.01|do:0.5|h:128,0.0238,0.0186,3.95
depth,0.35_0.0,4,d2,0.0279,0.0241,4.39
depth,0.35_0.0,4,d3,0.0378,0.0326,5.61
tune,0.35_0.0,4,lr:0.001|do:0.0|h:64,0.0109,0.007,3.27
mcdepth,0.35_0.0,4,mc_d2,0.0,0.0,6.77
tune,0.35_0.0,4,lr:0.001|do:0.0|h:128,0.0159,0.0121,3.74
tune,0.35_0.0,4,lr:0.01|do:0.0|h:64,0.0119,0.0075,3.27
tune,0.35_0.0,4,lr:0.001|do:0.5|h:128,0.0156,0.0116,3.78
mcdepth,0.35_0.0,4,mc_d3,0.0228,0.0139,9.65
tune,0.35_0.0,4,lr:0.01|do:0.0|h:128,0.0187,0.0151,3.87
tune,0.35_0.0,4,lr:0.01|do:0.5|h:64,0.0206,0.017,3.06
tune,0.35_0.0,4,lr:0.01|do:0.5|h:128,0.0156,0.0117,3.95
depth,0.35_0.2,0,d2,0.4106,0.4359,4.39
depth,0.35_0.2,0,d3,0.4689,0.5008,5.94
tune,0.35_0.2,0,lr:0.001|do:0.0|h:64,0.2858,0.2949,3.23
mcdepth,0.35_0.2,0,mc_d2,0.0,0.0,6.94
tune,0.35_0.2,0,lr:0.001|do:0.0|h:128,0.2513,0.2442,3.73
mcdepth,0.35_0.2,0,mc_d3,0.3807,0.3878,9.33
tune,0.35_0.2,0,lr:0.01|do:0.0|h:64,0.3278,0.3339,3.24
tune,0.35_0.2,0,lr:0.001|do:0.5|h:128,0.3794,0.4087,3.87
tune,0.35_0.2,0,lr:0.01|do:0.5|h:64,0.3979,0.4097,3.05
tune,0.35_0.2,0,lr:0.01|do:0.0|h:128,0.4184,0.4345,3.85
tune,0.35_0.2,0,lr:0.01|do:0.5|h:128,0.443,0.4766,3.85
depth,0.35_0.2,1,d2,0.3396,0.3409,4.63
depth,0.35_0.2,1,d3,0.5718,0.6245,5.62
tune,0.35_0.2,1,lr:0.001|do:0.0|h:64,0.2737,0.2673,3.16
mcdepth,0.35_0.2,1,mc_d2,0.4474,0.4787,6.79
tune,0.35_0.2,1,lr:0.001|do:0.0|h:128,0.4675,0.5108,3.92
tune,0.35_0.2,1,lr:0.01|do:0.0|h:64,0.3243,0.3267,3.09
tune,0.35_0.2,1,lr:0.001|do:0.5|h:128,0.4564,0.5034,3.76
mcdepth,0.35_0.2,1,mc_d3,0.3748,0.3639,9.63
tune,0.35_0.2,1,lr:0.01|do:0.0|h:128,0.4827,0.5337,3.87
tune,0.35_0.2,1,lr:0.01|do:0.5|h:64,0.4907,0.535,3.22
tune,0.35_0.2,1,lr:0.01|do:0.5|h:128,0.5278,0.581,3.87
depth,0.35_0.2,2,d2,0.3292,0.3471,4.26
depth,0.35_0.2,2,d3,0.2987,0.2941,6.04
tune,0.35_0.2,2,lr:0.001|do:0.0|h:64,0.1665,0.1548,3.21
mcdepth,0.35_0.2,2,mc_d2,0.0,0.0,6.98
tune,0.35_0.2,2,lr:0.001|do:0.0|h:128,0.208,0.2038,3.81
tune,0.35_0.2,2,lr:0.01|do:0.0|h:64,0.1691,0.1556,3.2
tune,0.35_0.2,2,lr:0.001|do:0.5|h:128,0.3156,0.3374,3.96
tune,0.35_0.2,2,lr:0.01|do:0.5|h:64,0.4046,0.4444,3.09
mcdepth,0.35_0.2,2,mc_d3,0.338,0.3272,9.73
tune,0.35_0.2,2,lr:0.01|do:0.0|h:128,0.2198,0.213,3.88
tune,0.35_0.2,2,lr:0.01|do:0.5|h:128,0.4014,0.4411,3.85
depth,0.35_0.2,3,d2,0.6122,0.6724,4.61
tune,0.35_0.2,3,lr:0.001|do:0.0|h:64,0.5903,0.6508,3.15
depth,0.35_0.2,3,d3,0.6265,0.6878,5.96
mcdepth,0.35_0.2,3,mc_d2,0.0193,0.0003,6.8
tune,0.35_0.2,3,lr:0.001|do:0.0|h:128,0.568,0.6254,3.9
tune,0.35_0.2,3,lr:0.01|do:0.0|h:64,0.5903,0.6494,3.25
tune,0.35_0.2,3,lr:0.001|do:0.5|h:128,0.5607,0.6195,3.85
mcdepth,0.35_0.2,3,mc_d3,0.4992,0.5187,9.62
tune,0.35_0.2,3,lr:0.01|do:0.0|h:128,0.6362,0.6969,3.81
tune,0.35_0.2,3,lr:0.01|do:0.5|h:64,0.6163,0.6758,3.23
tune,0.35_0.2,3,lr:0.01|do:0.5|h:128,0.6162,0.6754,3.92
depth,0.35_0.2,4,d2,0.4965,0.5356,4.5
depth,0.35_0.2,4,d3,0.5638,0.6186,5.82
tune,0.35_0.2,4,lr:0.001|do:0.0|h:64,0.3834,0.4106,3.27
mcdepth,0.35_0.2,4,mc_d2,0.002,0.0,7.05
tune,0.35_0.2,4,lr:0.001|do:0.0|h:128,0.4077,0.4429,3.87
tune,0.35_0.2,4,lr:0.01|do:0.0|h:64,0.3253,0.3256,3.28
tune,0.35_0.2,4,lr:0.001|do:0.5|h:128,0.3177,0.3209,3.88
mcdepth,0.35_0.2,4,mc_d3,0.4687,0.495,9.36
tune,0.35_0.2,4,lr:0.01|do:0.0|h:128,0.3653,0.3759,3.93
tune,0.35_0.2,4,lr:0.01|do:0.5|h:64,0.5226,0.5727,3.21
tune,0.35_0.2,4,lr:0.01|do:0.5|h:128,0.5252,0.5726,3.97
depth,0.35_0.35,0,d2,0.7435,0.7962,4.51
depth,0.35_0.35,0,d3,0.7623,0.8151,5.89
tune,0.35_0.35,0,lr:0.001|do:0.0|h:64,0.7265,0.7761,3.26
mcdepth,0.35_0.35,0,mc_d2,0.0,0.0,6.78
tune,0.35_0.35,0,lr:0.001|do:0.0|h:128,0.72,0.7715,3.87
tune,0.35_0.35,0,lr:0.01|do:0.0|h:64,0.738,0.7916,3.25
tune,0.35_0.35,0,lr:0.001|do:0.5|h:128,0.707,0.7548,3.93
mcdepth,0.35_0.35,0,mc_d3,0.6038,0.6024,9.42
tune,0.35_0.35,0,lr:0.01|do:0.0|h:128,0.7365,0.7879,3.85
tune,0.35_0.35,0,lr:0.01|do:0.5|h:64,0.5612,0.5711,3.15
tune,0.35_0.35,0,lr:0.01|do:0.5|h:128,0.7215,0.7771,3.93
depth,0.35_0.35,1,d2,0.8179,0.8622,4.55
depth,0.35_0.35,1,d3,0.831,0.8767,5.95
tune,0.35_0.35,1,lr:0.001|do:0.0|h:64,0.7938,0.8401,3.27
mcdepth,0.35_0.35,1,mc_d2,0.7611,0.8132,6.9
tune,0.35_0.35,1,lr:0.001|do:0.0|h:128,0.7881,0.8395,3.91
tune,0.35_0.35,1,lr:0.01|do:0.0|h:64,0.7779,0.832,3.27
mcdepth,0.35_0.35,1,mc_d3,0.7751,0.8297,9.45
tune,0.35_0.35,1,lr:0.001|do:0.5|h:128,0.7894,0.8336,3.88
tune,0.35_0.35,1,lr:0.01|do:0.0|h:128,0.7866,0.8371,3.86
tune,0.35_0.35,1,lr:0.01|do:0.5|h:64,0.7733,0.8235,3.27
tune,0.35_0.35,1,lr:0.01|do:0.5|h:128,0.7511,0.8076,3.96
depth,0.35_0.35,2,d2,0.756,0.8101,4.56
depth,0.35_0.35,2,d3,0.7605,0.8151,5.91
tune,0.35_0.35,2,lr:0.001|do:0.0|h:64,0.7324,0.7873,3.25
mcdepth,0.35_0.35,2,mc_d2,0.1406,0.0606,6.76
tune,0.35_0.35,2,lr:0.001|do:0.0|h:128,0.7097,0.7635,3.87
tune,0.35_0.35,2,lr:0.01|do:0.0|h:64,0.7439,0.8026,3.23
tune,0.35_0.35,2,lr:0.001|do:0.5|h:128,0.6963,0.7542,3.88
tune,0.35_0.35,2,lr:0.01|do:0.0|h:128,0.7538,0.8079,3.89
mcdepth,0.35_0.35,2,mc_d3,0.7302,0.7888,9.63
tune,0.35_0.35,2,lr:0.01|do:0.5|h:64,0.7369,0.7955,3.2
tune,0.35_0.35,2,lr:0.01|do:0.5|h:128,0.7393,0.7981,3.95
depth,0.35_0.35,3,d2,0.8557,0.8987,4.56
depth,0.35_0.35,3,d3,0.8711,0.9113,6.08
tune,0.35_0.35,3,lr:0.001|do:0.0|h:64,0.8783,0.9166,3.28
mcdepth,0.35_0.35,3,mc_d2,0.8649,0.9087,6.77
tune,0.35_0.35,3,lr:0.001|do:0.0|h:128,0.8714,0.909,3.9
tune,0.35_0.35,3,lr:0.01|do:0.0|h:64,0.8696,0.9089,3.26
tune,0.35_0.35,3,lr:0.001|do:0.5|h:128,0.8505,0.8941,3.98
mcdepth,0.35_0.35,3,mc_d3,0.8432,0.8909,9.52
tune,0.35_0.35,3,lr:0.01|do:0.0|h:128,0.862,0.9039,3.88
tune,0.35_0.35,3,lr:0.01|do:0.5|h:64,0.8646,0.9063,3.16
tune,0.35_0.35,3,lr:0.01|do:0.5|h:128,0.8666,0.9063,3.93
depth,0.35_0.35,4,d2,0.8257,0.8739,4.68
depth,0.35_0.35,4,d3,0.8174,0.8662,5.99
tune,0.35_0.35,4,lr:0.001|do:0.0|h:64,0.7959,0.8465,3.29
mcdepth,0.35_0.35,4,mc_d2,0.1116,0.0364,7.03
tune,0.35_0.35,4,lr:0.001|do:0.0|h:128,0.7994,0.8473,3.98
tune,0.35_0.35,4,lr:0.01|do:0.0|h:64,0.819,0.8663,3.31
tune,0.35_0.35,4,lr:0.001|do:0.5|h:128,0.8013,0.8494,3.97
mcdepth,0.35_0.35,4,mc_d3,0.7778,0.8297,9.63
tune,0.35_0.35,4,lr:0.01|do:0.0|h:128,0.8159,0.8594,3.93
tune,0.35_0.35,4,lr:0.01|do:0.5|h:64,0.7943,0.8416,3.28
tune,0.35_0.35,4,lr:0.01|do:0.5|h:128,0.7965,0.8465,3.9
depth,0.35_0.5,0,d2,0.8588,0.8987,4.54
depth,0.35_0.5,0,d3,0.8069,0.8563,5.94
tune,0.35_0.5,0,lr:0.001|do:0.0|h:64,0.8982,0.9295,3.2
mcdepth,0.35_0.5,0,mc_d2,0.0,0.0,6.84
tune,0.35_0.5,0,lr:0.001|do:0.0|h:128,0.9,0.9295,3.78
tune,0.35_0.5,0,lr:0.01|do:0.0|h:64,0.8707,0.9043,3.07
tune,0.35_0.5,0,lr:0.001|do:0.5|h:128,0.8881,0.9193,3.76
tune,0.35_0.5,0,lr:0.01|do:0.0|h:128,0.9,0.9294,3.71
