exp,target,seed,config,nmi,ari,seconds
mcdepth,0.05_0.35,3,mc_d2,0.0035,-0.0008,7.19
tune,0.05_0.35,3,lr:0.001|do:0.0|h:128,0.1975,0.1902,3.96
tune,0.05_0.35,3,lr:0.01|do:0.0|h:64,0.1057,0.0948,3.24
tune,0.05_0.35,3,lr:0.001|do:0.5|h:128,0.1428,0.1408,4.01
mcdepth,0.05_0.35,3,mc_d3,0.0701,0.0609,9.93
tune,0.05_0.35,3,lr:0.01|do:0.5|h:64,0.0751,0.0699,3.21
tune,0.05_0.35,3,lr:0.01|do:0.0|h:128,0.1346,0.1376,4.04
tune,0.05_0.35,3,lr:0.01|do:0.5|h:128,0.0895,0.0865,3.85
depth,0.05_0.35,4,d2,0.0867,0.0805,4.53
tune,0.05_0.35,4,lr:0.001|do:0.0|h:64,0.1089,0.101,3.12
depth,0.05_0.35,4,d3,0.0638,0.0579,5.86
mcdepth,0.05_0.35,4,mc_d2,0.0,0.0,7.29
tune,0.05_0.35,4,lr:0.001|do:0.0|h:128,0.1533,0.1459,3.99
tune,0.05_0.35,4,lr:0.01|do:0.0|h:64,0.0846,0.0759,3.2
tune,0.05_0.35,4,lr:0.001|do:0.5|h:128,0.0992,0.0904,3.99
mcdepth,0.05_0.35,4,mc_d3,0.004,0.0,9.87
tune,0.05_0.35,4,lr:0.01|do:0.0|h:128,0.1058,0.0988,4.06
tune,0.05_0.35,4,lr:0.01|do:0.5|h:64,0.0816,0.0709,3.14
tune,0.05_0.35,4,lr:0.01|do:0.5|h:128,0.0788,0.0737,3.87
depth,0.05_0.5,0,d2,0.1283,0.1159,4.55
tune,0.05_0.5,0,lr:0.001|do:0.0|h:64,0.1549,0.1357,3.22
depth,0.05_0.5,0,d3,0.102,0.0905,6.18
mcdepth,0.05_0.5,0,mc_d2,0.0,0.0,7.26
tune,0.05_0.5,0,lr:0.001|do:0.0|h:128,0.2264,0.2339,3.95
tune,0.05_0.5,0,lr:0.01|do:0.0|h:64,0.1236,0.1074,3.27
tune,0.05_0.5,0,lr:0.001|do:0.5|h:128,0.2057,0.2061,3.98
mcdepth,0.05_0.5,0,mc_d3,0.0241,0.0132,9.87
tune,0.05_0.5,0,lr:0.01|do:0.5|h:64,0.126,0.1267,3.32
tune,0.05_0.5,0,lr:0.01|do:0.0|h:128,0.1376,0.1348,4.18
tune,0.05_0.5,0,lr:0.01|do:0.5|h:128,0.1271,0.125,3.83
depth,0.05_0.5,1,d2,0.1473,0.1388,4.43
tune,0.05_0.5,1,lr:0.001|do:0.0|h:64,0.1488,0.1445,3.1
depth,0.05_0.5,1,d3,0.1218,0.1089,5.83
mcdepth,0.05_0.5,1,mc_d2,0.0,0.0,7.12
tune,0.05_0.5,1,lr:0.001|do:0.0|h:128,0.1933,0.1757,3.86
tune,0.05_0.5,1,lr:0.01|do:0.0|h:64,0.1111,0.1032,3.21
tune,0.05_0.5,1,lr:0.001|do:0.5|h:128,0.1467,0.1306,3.98
mcdepth,0.05_0.5,1,mc_d3,0.0,0.0,9.88
tune,0.05_0.5,1,lr:0.01|do:0.5|h:64,0.0998,0.0927,3.28
tune,0.05_0.5,1,lr:0.01|do:0.0|h:128,0.1909,0.1776,4.19
tune,0.05_0.5,1,lr:0.01|do:0.5|h:128,0.115,0.1066,3.99
depth,0.05_0.5,2,d2,0.1411,0.1308,4.59
tune,0.05_0.5,2,lr:0.001|do:0.0|h:64,0.1619,0.1528,3.15
depth,0.05_0.5,2,d3,0.1393,0.123,5.7
mcdepth,0.05_0.5,2,mc_d2,0.002,0.0,7.14
tune,0.05_0.5,2,lr:0.001|do:0.0|h:128,0.1946,0.1914,3.87
tune,0.05_0.5,2,lr:0.01|do:0.0|h:64,0.146,0.1274,3.1
tune,0.05_0.5,2,lr:0.001|do:0.5|h:128,0.1825,0.1838,3.85
mcdepth,0.05_0.5,2,mc_d3,0.0175,0.0111,9.63
tune,0.05_0.5,2,lr:0.01|do:0.0|h:128,0.1475,0.1392,4.04
tune,0.05_0.5,2,lr:0.01|do:0.5|h:64,0.1228,0.1195,3.17
tune,0.05_0.5,2,lr:0.01|do:0.5|h:128,0.0896,0.0851,3.88
depth,0.05_0.5,3,d2,0.1295,0.1014,4.54
tune,0.05_0.5,3,lr:0.001|do:0.0|h:64,0.2257,0.2347,3.17
depth,0.05_0.5,3,d3,0.0924,0.0796,6.03
mcdepth,0.05_0.5,3,mc_d2,0.0052,-0.0003,7.1
tune,0.05_0.5,3,lr:0.001|do:0.0|h:128,0.2524,0.2721,3.89
tune,0.05_0.5,3,lr:0.001|do:0.5|h:128,0.2272,0.2303,3.87
tune,0.05_0.5,3,lr:0.01|do:0.0|h:64,0.1349,0.131,3.23
mcdepth,0.05_0.5,3,mc_d3,0.1318,0.1156,9.74
tune,0.05_0.5,3,lr:0.01|do:0.0|h:128,0.2053,0.213,4.09
tune,0.05_0.5,3,lr:0.01|do:0.5|h:64,0.1608,0.1516,3.22
tune,0.05_0.5,3,lr:0.01|do:0.5|h:128,0.1366,0.137,3.96
depth,0.05_0.5,4,d2,0.1652,0.1534,4.63
depth,0.05_0.5,4,d3,0.1146,0.109,5.94
tune,0.05_0.5,4,lr:0.001|do:0.0|h:64,0.2307,0.2133,3.22
mcdepth,0.05_0.5,4,mc_d2,0.0,0.0,7.28
tune,0.05_0.5,4,lr:0.001|do:0.0|h:128,0.2238,0.1891,3.87
tune,0.05_0.5,4,lr:0.01|do:0.0|h:64,0.1506,0.1388,3.17
tune,0.05_0.5,4,lr:0.001|do:0.5|h:128,0.1985,0.1852,3.92
mcdepth,0.05_0.5,4,mc_d3,0.0,0.0,9.82
tune,0.05_0.5,4,lr:0.01|do:0.5|h:64,0.145,0.1255,3.11
tune,0.05_0.5,4,lr:0.01|do:0.0|h:128,0.1325,0.1193,4.02
tune,0.05_0.5,4,lr:0.01|do:0.5|h:128,0.1315,0.1221,3.89
depth,0.05_0.65,0,d2,0.2387,0.2258,4.56
tune,0.05_0.65,0,lr:0.001|do:0.0|h:64,0.2441,0.2417,3.12
depth,0.05_0.65,0,d3,0.1598,0.1426,5.75
mcdepth,0.05_0.65,0,mc_d2,0.0,0.0,7.11
