arm,structure,feature,seed,method,nmi,ari,sep_min,sep_mean,seconds
A,0.0,0.5,1,dmon,0.5077,0.5589,3.2207,3.8073,2.23
A,0.0,0.5,1,mincut,0.002,0.0,3.2207,3.8073,2.55
A,0.0,0.5,1,dmon_ref,0.0459,0.0343,3.2207,3.8073,2.56
A,0.0,0.5,2,louvain,0.0087,0.0017,3.1767,3.7832,0.16
A,0.0,0.5,2,leiden,0.0046,-0.0013,3.1767,3.7832,0.09
A,0.0,0.5,2,kmeans,0.6986,0.7449,3.1767,3.7832,0.02
A,0.0,0.5,2,dmon,0.2601,0.2516,3.1767,3.7832,2.2
A,0.0,0.5,2,mincut,0.0,0.0,3.1767,3.7832,2.51
A,0.0,0.5,2,dmon_ref,0.0831,0.0698,3.1767,3.7832,2.45
A,0.0,0.5,3,louvain,0.0061,-0.0013,3.6641,4.358,0.19
A,0.0,0.5,3,leiden,0.0084,0.0015,3.6641,4.358,0.08
A,0.0,0.5,3,kmeans,0.8401,0.8861,3.6641,4.358,0.01
A,0.0,0.5,3,dmon,0.5323,0.5652,3.6641,4.358,2.19
A,0.0,0.5,3,mincut,0.0012,-0.0,3.6641,4.358,2.53
A,0.0,0.5,3,dmon_ref,0.124,0.1092,3.6641,4.358,2.54
A,0.0,0.5,4,louvain,0.0067,-0.0011,3.3776,4.084,0.17
A,0.0,0.5,4,leiden,0.0042,-0.0017,3.3776,4.084,0.07
A,0.0,0.5,4,kmeans,0.7821,0.8307,3.3776,4.084,0.01
A,0.0,0.5,4,dmon,0.5164,0.5555,3.3776,4.084,2.24
A,0.0,0.5,4,mincut,0.0,0.0,3.3776,4.084,2.54
A,0.0,0.5,4,dmon_ref,0.0634,0.0545,3.3776,4.084,2.47
A,0.0,0.65,0,louvain,0.0061,-0.0008,3.6291,4.9596,0.17
A,0.0,0.65,0,leiden,0.009,0.0022,3.6291,4.9596,0.08
A,0.0,0.65,0,kmeans,0.9011,0.9228,3.6291,4.9596,0.01
A,0.0,0.65,0,dmon,0.3836,0.3591,3.6291,4.9596,2.2
A,0.0,0.65,0,mincut,0.0,0.0,3.6291,4.9596,2.54
A,0.0,0.65,0,dmon_ref,0.1125,0.0919,3.6291,4.9596,2.57
A,0.0,0.65,1,louvain,0.0116,0.0024,4.1869,4.9495,0.12
A,0.0,0.65,1,leiden,0.003,-0.0023,4.1869,4.9495,0.08
A,0.0,0.65,1,kmeans,0.9299,0.9552,4.1869,4.9495,0.01
A,0.0,0.65,1,dmon,0.8423,0.8886,4.1869,4.9495,2.24
A,0.0,0.65,1,mincut,0.0,0.0,4.1869,4.9495,2.52
A,0.0,0.65,1,dmon_ref,0.0667,0.0554,4.1869,4.9495,2.51
A,0.0,0.65,2,louvain,0.0087,0.0017,4.1297,4.9182,0.16
A,0.0,0.65,2,leiden,0.0046,-0.0013,4.1297,4.9182,0.09
A,0.0,0.65,2,kmeans,0.8879,0.919,4.1297,4.9182,0.01
A,0.0,0.65,2,dmon,0.5826,0.6121,4.1297,4.9182,2.2
A,0.0,0.65,2,mincut,0.0,0.0,4.1297,4.9182,2.52
A,0.0,0.65,2,dmon_ref,0.1076,0.0907,4.1297,4.9182,2.53
A,0.0,0.65,3,louvain,0.0061,-0.0013,4.7634,5.6654,0.19
A,0.0,0.65,3,leiden,0.0084,0.0015,4.7634,5.6654,0.08
A,0.0,0.65,3,kmeans,0.9738,0.9841,4.7634,5.6654,0.01
A,0.0,0.65,3,dmon,0.8291,0.8717,4.7634,5.6654,2.2
A,0.0,0.65,3,mincut,0.005,0.0001,4.7634,5.6654,2.52
A,0.0,0.65,3,dmon_ref,0.1407,0.126,4.7634,5.6654,2.5
A,0.0,0.65,4,louvain,0.0067,-0.0011,4.3908,5.3092,0.17
A,0.0,0.65,4,leiden,0.0042,-0.0017,4.3908,5.3092,0.07
A,0.0,0.65,4,kmeans,0.9347,0.9553,4.3908,5.3092,0.01
A,0.0,0.65,4,dmon,0.7683,0.8184,4.3908,5.3092,2.21
A,0.0,0.65,4,mincut,0.0001,-0.0005,4.3908,5.3092,2.52
A,0.0,0.65,4,dmon_ref,0.1032,0.0891,4.3908,5.3092,2.54
A,0.0,0.8,0,louvain,0.0061,-0.0008,4.4665,6.1041,0.17
A,0.0,0.8,0,leiden,0.009,0.0022,4.4665,6.1041,0.08
A,0.0,0.8,0,kmeans,0.9554,0.9684,4.4665,6.1041,0.01
A,0.0,0.8,0,dmon,0.8172,0.8475,4.4665,6.1041,2.18
A,0.0,0.8,0,mincut,0.0,0.0,4.4665,6.1041,2.5
A,0.0,0.8,0,dmon_ref,0.131,0.1023,4.4665,6.1041,2.46
A,0.0,0.8,1,louvain,0.0116,0.0024,5.1531,6.0917,0.12
A,0.0,0.8,1,leiden,0.003,-0.0023,5.1531,6.0917,0.08
A,0.0,0.8,1,kmeans,0.9859,0.992,5.1531,6.0917,0.01
A,0.0,0.8,1,dmon,0.9298,0.9577,5.1531,6.0917,2.24
A,0.0,0.8,1,mincut,0.002,0.0,5.1531,6.0917,2.53
A,0.0,0.8,1,dmon_ref,0.0884,0.0756,5.1531,6.0917,2.56
A,0.0,0.8,2,louvain,0.0087,0.0017,5.0828,6.0531,0.16
A,0.0,0.8,2,leiden,0.0046,-0.0013,5.0828,6.0531,0.09
A,0.0,0.8,2,kmeans,0.9573,0.9734,5.0828,6.0531,0.01
A,0.0,0.8,2,dmon,0.8309,0.8786,5.0828,6.0531,2.2
A,0.0,0.8,2,mincut,0.0,0.0,5.0828,6.0531,2.54
A,0.0,0.8,2,dmon_ref,0.1323,0.1039,5.0828,6.0531,2.53
A,0.0,0.8,3,louvain,0.0061,-0.0013,5.8626,6.9728,0.19
A,0.0,0.8,3,leiden,0.0084,0.0015,5.8626,6.9728,0.08
A,0.0,0.8,3,kmeans,1.0,1.0,5.8626,6.9728,0.01
A,0.0,0.8,3,dmon,0.955,0.9735,5.8626,6.9728,2.23
A,0.0,0.8,3,mincut,0.0004,-0.001,5.8626,6.9728,2.52
A,0.0,0.8,3,dmon_ref,0.1681,0.1445,5.8626,6.9728,2.56
A,0.0,0.8,4,louvain,0.0067,-0.0011,5.4041,6.5344,0.17
A,0.0,0.8,4,leiden,0.0042,-0.0017,5.4041,6.5344,0.07
