structure,feature,seed,method,nmi,ari,seconds
0.2,0.2,2,louvain,0.029,0.0188,0.14
0.2,0.2,2,leiden,0.0195,0.0113,0.07
0.2,0.2,2,kmeans,0.05,0.048,0.03
0.2,0.2,2,dmon,0.0154,0.0109,2.21
0.2,0.2,2,mincut,0.0,0.0,2.6
0.2,0.2,3,louvain,0.0226,0.0112,0.11
0.2,0.2,3,leiden,0.0079,0.001,0.07
0.2,0.2,3,kmeans,0.1119,0.1077,0.03
0.2,0.2,3,dmon,0.1217,0.1193,2.22
0.2,0.2,3,mincut,0.003,-0.0,2.59
0.2,0.2,4,louvain,0.0353,0.0198,0.11
0.2,0.2,4,leiden,0.0292,0.0134,0.07
0.2,0.2,4,kmeans,0.1309,0.13,0.03
0.2,0.2,4,dmon,0.0505,0.047,2.24
0.2,0.2,4,mincut,0.0,0.0,2.58
0.2,0.35,0,louvain,0.0154,0.0058,0.16
0.2,0.35,0,leiden,0.0164,0.0069,0.08
0.2,0.35,0,kmeans,0.4238,0.4588,0.02
0.2,0.35,0,dmon,0.1205,0.1005,2.24
0.2,0.35,0,mincut,0.0,0.0,2.61
0.2,0.35,1,louvain,0.0173,0.0052,0.15
0.2,0.35,1,leiden,0.0131,0.0058,0.06
0.2,0.35,1,kmeans,0.4793,0.5221,0.03
0.2,0.35,1,dmon,0.468,0.5144,2.24
0.2,0.35,1,mincut,0.0,0.0,2.61
0.2,0.35,2,louvain,0.029,0.0188,0.14
0.2,0.35,2,leiden,0.0195,0.0113,0.07
0.2,0.35,2,kmeans,0.417,0.4539,0.03
0.2,0.35,2,dmon,0.1862,0.173,2.19
0.2,0.35,2,mincut,0.002,0.0,2.6
0.2,0.35,3,louvain,0.0226,0.0112,0.11
0.2,0.35,3,leiden,0.0079,0.001,0.07
0.2,0.35,3,kmeans,0.5697,0.6244,0.02
0.2,0.35,3,dmon,0.3828,0.3884,2.2
0.2,0.35,3,mincut,0.0032,0.0,2.57
0.2,0.35,4,louvain,0.0353,0.0198,0.11
0.2,0.35,4,leiden,0.0292,0.0134,0.07
0.2,0.35,4,kmeans,0.5033,0.5515,0.02
0.2,0.35,4,dmon,0.3935,0.3973,2.21
0.2,0.35,4,mincut,0.0,0.0,2.59
0.2,0.5,0,louvain,0.0154,0.0058,0.16
0.2,0.5,0,leiden,0.0164,0.0069,0.08
0.2,0.5,0,kmeans,0.7088,0.7585,0.02
0.2,0.5,0,dmon,0.2277,0.1861,2.24
0.2,0.5,0,mincut,0.0,0.0,2.6
0.2,0.5,1,louvain,0.0173,0.0052,0.15
0.2,0.5,1,leiden,0.0131,0.0058,0.06
0.2,0.5,1,kmeans,0.7624,0.8114,0.01
0.2,0.5,1,dmon,0.7827,0.8368,2.25
0.2,0.5,1,mincut,0.0,0.0,2.63
0.2,0.5,2,louvain,0.029,0.0188,0.14
0.2,0.5,2,leiden,0.0195,0.0113,0.08
0.2,0.5,2,kmeans,0.6986,0.7449,0.01
0.2,0.5,2,dmon,0.491,0.493,2.2
0.2,0.5,2,mincut,0.0,0.0,2.59
0.2,0.5,3,louvain,0.0226,0.0112,0.11
0.2,0.5,3,leiden,0.0079,0.001,0.07
0.2,0.5,3,kmeans,0.8401,0.8861,0.01
0.2,0.5,3,dmon,0.8275,0.8738,2.23
0.2,0.5,3,mincut,0.0046,0.0,2.58
0.2,0.5,4,louvain,0.0353,0.0198,0.11
0.2,0.5,4,leiden,0.0292,0.0134,0.07
0.2,0.5,4,kmeans,0.7821,0.8307,0.01
0.2,0.5,4,dmon,0.8013,0.8495,2.21
0.2,0.5,4,mincut,0.0,0.0,2.57
0.2,0.65,0,louvain,0.0154,0.0058,0.16
0.2,0.65,0,leiden,0.0164,0.0069,0.08
0.2,0.65,0,kmeans,0.9011,0.9228,0.01
0.2,0.65,0,dmon,0.8785,0.912,2.22
0.2,0.65,0,mincut,0.0,0.0,2.58
0.2,0.65,1,louvain,0.0173,0.0052,0.15
0.2,0.65,1,leiden,0.0131,0.0058,0.06
0.2,0.65,1,kmeans,0.9299,0.9552,0.01
0.2,0.65,1,dmon,0.9457,0.9657,2.22
0.2,0.65,1,mincut,0.0,0.0,2.66
0.2,0.65,2,louvain,0.029,0.0188,0.14
0.2,0.65,2,leiden,0.0195,0.0113,0.07
0.2,0.65,2,kmeans,0.8879,0.919,0.01
0.2,0.65,2,dmon,0.6446,0.6507,2.21
0.2,0.65,2,mincut,0.004,0.0,2.61
0.2,0.65,3,louvain,0.0226,0.0112,0.11
0.2,0.65,3,leiden,0.0079,0.001,0.07
0.2,0.65,3,kmeans,0.9738,0.9841,0.01
0.2,0.65,3,dmon,0.9402,0.963,2.25
0.2,0.65,3,mincut,0.0059,0.0002,2.62
0.2,0.65,4,louvain,0.0353,0.0198,0.11
0.2,0.65,4,leiden,0.0292,0.0134,0.07
0.2,0.65,4,kmeans,0.9347,0.9553,0.01
